Lipid,Formula,File,Sample,pD,Summed Abundance,Condition,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80,M81,M82,M83,M84
PE 30:0,C35H70NO8P,DL_75D2O_Glu_1_pos,75D2O_HGlu_1,0.5,3.69E+08,75%-DGlu,0.068466923,0.025725968,0.005781904,0.005314871,0.007548961,0.005791042,0.003086136,0.000921914,0.000102509,0,0,0.000210254,0.000132963,0.000790321,0.003260613,0.005241693,0.009844659,0.015515062,0.023211982,0.030089368,0.035736526,0.03798537,0.037463944,0.033159169,0.027392411,0.022855524,0.019050099,0.022102628,0.032911979,0.056170149,0.095221425,0.152704446,0.236921058,0.347367271,0.477882607,0.622737773,0.759350235,0.885226695,0.970793612,1,0.975452045,0.897180966,0.778796204,0.643163271,0.489191988,0.354183182,0.248314231,0.159800038,0.095709496,0.05530001,0.028234459,0.013555987,0.006289592,0.002479048,0.000737585,0,0,0,0,0,0,0,0,0,0.000105973,0.001038115,0.004990577,0.011612545,0.003576153,0.000282018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 30:0,C35H70NO8P,DL_75D2O_Glu_2_pos,75D2O_HGlu_2,0.5,7.86E+08,75%-DGlu,0.009149864,0.003347174,0.001841637,0.006016908,0.008566852,0.007076751,0.003003115,0.00038128,5.47E-05,0,0,3.03E-05,0.000169505,0.000341863,0.002099356,0.005529097,0.01034056,0.017244766,0.025498456,0.032974513,0.040031393,0.040818775,0.041538816,0.037415263,0.031106171,0.024748062,0.022327527,0.024199972,0.035339293,0.05966863,0.101801448,0.164063222,0.25036606,0.36619525,0.49711589,0.640557363,0.782432877,0.901872399,0.974479974,1,0.958962136,0.870233919,0.739560791,0.603581839,0.45205475,0.3212733,0.21603287,0.134517864,0.078423328,0.042783496,0.021121462,0.008898994,0.003950736,0.000853272,0.000129491,0,0,0,0,0,0,0,0,0,0,4.74E-05,0.001635387,0.003791504,0.001020958,0.000138357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 30:0,C35H70NO8P,DL_75D2O_Glu_3_pos,75D2O_HGlu_3,0.5,3.86E+08,75%-DGlu,0.011209631,0.004259027,0.002645371,0.006313404,0.00937541,0.007191847,0.003070878,0.000246563,0.00109835,0,2.74E-05,0,6.43E-05,0.000638804,0.00225594,0.005016069,0.009512694,0.017326245,0.024923695,0.03304937,0.039348122,0.040892335,0.040232804,0.036826391,0.029320478,0.022565293,0.020864235,0.024168605,0.033966179,0.060397843,0.09890541,0.16038561,0.248456662,0.36061719,0.487240424,0.635457117,0.77317178,0.900352836,0.97646861,1,0.966618881,0.880807549,0.758763916,0.61675143,0.468049569,0.336080701,0.223332756,0.141139371,0.086520097,0.046535106,0.022490568,0.010773241,0.003993654,0.001642877,0.000369503,0,0,0,0,0,0,0,0,0,0,0.000125678,0.001664608,0.004716719,0.001176808,0.000151418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 30:0,C35H70NO8P,DL_D2O_DGlycerol_1_pos,D2O_DGly_1,0.99,5.20E+08,100%-DGly,0.00099239,0.000599861,0.000531865,0.000933237,0.001254952,0.002414185,0.003590807,0.007297937,0.012452485,0.022877371,0.034638734,0.047937539,0.060775482,0.069090116,0.071216022,0.066133753,0.055163988,0.04114752,0.028597062,0.017608457,0.009791186,0.005155815,0.002347263,0.000922614,0.00028556,0,0,0,0,0.000202002,1.87E-05,6.04E-05,0.000395093,0.000553124,0.001547693,0.006880568,0.021020161,0.008753544,0.002832803,0.005318551,0.014444682,0.006262152,0.002048483,0.000405,0.000374108,0,4.94E-05,0,0,0,0,0,0,1.81E-05,0,0,0,0,0,0,0,0,0,0.007111912,0.031493456,0.14776348,0.51656719,1,0.350712396,0.079184625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 30:0,C35H70NO8P,DL_D2O_DGlycerol_2_pos,D2O_DGly_2,0.99,6.38E+08,100%-DGly,0.0003695,0.000105043,0.000162734,0.000236069,0.000386407,0.00067117,0.000880185,0.001566929,0.002883248,0.006749961,0.007876424,0.010046311,0.01262272,0.014535644,0.014511187,0.01358322,0.01102131,0.008420308,0.005736689,0.003531935,0.002071427,0.000944906,0.000459613,7.27E-05,2.33E-05,0,0,3.15E-05,0,0,0,2.08E-05,0.000298366,0.00027594,0.001165985,0.006295846,0.021786348,0.00857674,0.00253264,0.005302169,0.01634346,0.00669048,0.001574749,0.000206532,2.23E-05,0,0,7.38E-06,6.45E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004626457,0.023018834,0.119958488,0.468305776,1,0.354370021,0.081600291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 30:0,C35H70NO8P,DL_D2O_DGlycerol_3_pos,D2O_DGly_3,0.99,6.04E+08,100%-DGly,0.000284946,5.09E-05,1.63E-05,7.80E-05,0.000157849,0.000259352,0.000435984,0.000675803,0.001316586,0.00383381,0.003638972,0.004398742,0.005170477,0.005727203,0.005951492,0.005432639,0.004510635,0.003276532,0.002251389,0.001338252,0.000756704,0.00036649,4.23E-05,1.98E-05,0,0,0,3.63E-05,0,0,1.34E-05,0,8.92E-05,5.63E-05,0.000988815,0.00535214,0.017734756,0.006735074,0.001838449,0.004603077,0.015091733,0.005686228,0.001316452,0.000142239,7.95E-05,0,0,0,0.00016221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005402344,0.027743148,0.139550665,0.510001342,1,0.350506827,0.080218442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 31:1,C36H70NO8P,DL_H2O_DGlu_1_pos,H2O_DGlu_1,0.2,1.54E+08,0%-DGlu,0,0,0.002976737,0.007092256,0.01409857,0.025314744,0.045159155,0.078231815,0.134453564,0.221408954,0.337661324,0.485039209,0.653101238,0.806985516,0.932521593,1,0.973616821,0.897111189,0.759393702,0.583264781,0.421741701,0.285489638,0.178208659,0.108238356,0.058605684,0.028677213,0.013069876,0.003626208,0.001762935,0.000952143,0.00175716,0.003286491,0.005733782,0.008774071,0.011793202,0.014773526,0.01835721,0.020127966,0.021753917,0.020964575,0.019895125,0.018211388,0.014500197,0.010962948,0.007262913,0.005035878,0.003146739,0.001692586,0.000730976,0.000124697,0,4.80E-05,0,0,0,0,0,0,0,0,0,0,0,0.000268264,0,0.000125814,0.001859975,0.004196577,0.001324859,0.000050063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 31:1,C36H70NO8P,DL_H2O_DGlu_2_pos,H2O_DGlu_2,0.2,1.66E+08,0%-DGlu,0,0,0.004736938,0.011406832,0.021112675,0.03470605,0.056968009,0.089498145,0.144911904,0.226864562,0.342159987,0.483843017,0.639704552,0.793979803,0.921631147,1,0.983820546,0.913570639,0.77362375,0.603085069,0.435998904,0.300388926,0.188317398,0.112769487,0.062070181,0.028720904,0.01068936,0.003826934,0.001358172,0.000554835,0.000209993,0.000942622,0.001480498,0.00239706,0.003874758,0.005622429,0.006458661,0.006638365,0.007365375,0.007264324,0.006995889,0.006140964,0.005351007,0.003571962,0.002603119,0.001428518,0.000981019,0.000401336,4.46E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000652579,0.003612988,0.008377032,0.002940433,0.00015718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 31:1,C36H70NO8P,DL_H2O_DGlu_3_pos,H2O_DGlu_3,0.2,1.40E+08,0%-DGlu,0,0,0.004138616,0.009934423,0.018682252,0.033123018,0.054580051,0.084656402,0.144612507,0.230466766,0.347520767,0.494150201,0.657246951,0.805441949,0.935033662,1,0.989707717,0.896611166,0.754117315,0.584352256,0.423213572,0.28365092,0.178062096,0.106544016,0.05930444,0.028786932,0.012896585,0.004544355,0.001167926,0.000362835,0.000362118,0.000580768,0.001577986,0.0017132,0.00346985,0.004188477,0.00558913,0.005846043,0.005452906,0.006078258,0.005944072,0.004951184,0.004007108,0.002880551,0.001884826,0.001068167,0.000525115,0.000230166,0,0,0,0,0,4.12E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.001669066,0.004194395,0.001547131,0.000054903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE 31:1,C36H70NO8P,DL_H2O_DGlycerol_1_pos,H2O_DGly_1,0.2,3.91E+08,0%-DGly,0,0,0,0,0,0.000939223,0.005896998,0.023166688,0.063086187,0.142441067,0.266159398,0.440172321,0.632851884,0.81540481,0.943725922,1,0.946909224,0.819950269,0.647729116,0.466713097,0.307710319,0.185996331,0.103227765,0.053214374,0.024512769,0.010989622,0.003568136,0.000996828,0.000181886,0,0,0,9.32E-05,0.000108023,0.0001882,0.000410646,0.000467507,0.000658139,0.000595369,0.000766216,0.000728149,0.000502777,0.000454084,0.000285568,0.000222805,0.000102117,3.25E-05,8.90E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000186474,0.000681711,0.000107768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
